Subject,Investment_Amount,Multiplier,Prop_Returned,Returned,Second_Order_Expectation,Fairness,Soc1,Soc2,Trial
123,6,4,0.291666667,7,12,10.0,10.0,4.0,6_4
123,7,4,0.5,14,14,10.0,10.0,8.0,7_4
123,6,6,0.388888889,14,12,16.0,16.0,6.0,6_6
123,3,6,0.611111111,11,6,5.0,5.0,3.0,3_6
123,3,6,0.277777778,5,6,5.0,5.0,3.0,3_6__2
123,1,6,0.333333333,2,2,0.0,0.0,0.0,1_6
123,8,6,0.604166667,29,16,23.0,23.0,15.0,8_6
123,6,4,1,24,12,10.0,10.0,4.0,6_4__2
123,3,4,0.5,6,6,2.0,2.0,0.0,3_4
123,3,2,1,6,6,0.0,0.0,0.0,3_2
123,5,4,0.5,10,10,7.0,7.0,5.0,5_4
123,4,2,1,8,8,1.0,1.0,0.0,4_2
123,4,4,0.5,8,8,4.0,4.0,1.0,4_4
123,10,4,0.6,24,20,20.0,20.0,0.0,10_4
123,5,2,1,10,10,2.0,2.0,1.0,5_2
123,9,2,0.611111111,11,18,8.0,8.0,3.0,9_2
123,3,4,1,12,6,2.0,2.0,0.0,3_4__2
123,4,6,0.416666667,10,8,9.0,9.0,4.0,4_6
123,6,2,1,12,12,4.0,4.0,2.0,6_2
123,5,4,0.5,10,10,7.0,7.0,5.0,5_4__2
123,10,2,1,20,20,10.0,10.0,0.0,10_2
123,8,4,0.5,16,16,12.0,12.0,0.0,8_4
123,3,2,1,6,6,0.0,0.0,0.0,3_2__2
123,2,4,0.5,4,4,0.0,0.0,0.0,2_4
123,8,4,0.40625,13,16,12.0,12.0,0.0,8_4__2
123,5,2,0.6,6,10,2.0,2.0,1.0,5_2__2
123,9,6,1,54,18,25.0,25.0,20.0,9_6
123,6,2,1,12,12,4.0,4.0,2.0,6_2__2
123,2,6,0.416666667,5,4,2.0,2.0,0.0,2_6
123,6,4,1,24,12,10.0,10.0,4.0,6_4__3
123,5,2,1,10,10,2.0,2.0,1.0,5_2__3
123,5,4,0.5,10,10,7.0,7.0,5.0,5_4__3
123,2,2,1,4,4,0.0,0.0,0.0,2_2
123,1,4,1,4,2,0.0,0.0,0.0,1_4
123,1,4,1,4,2,0.0,0.0,0.0,1_4__2
123,6,6,0.694444444,25,12,16.0,16.0,6.0,6_6__2
123,5,4,0.5,10,10,7.0,7.0,5.0,5_4__4
123,5,4,0.5,10,10,7.0,7.0,5.0,5_4__5
123,4,6,0.291666667,7,8,9.0,9.0,4.0,4_6__2
123,10,6,0.3,18,20,25.0,25.0,0.0,10_6
123,10,2,0.6,12,20,10.0,10.0,0.0,10_2__2
123,10,4,0.3,12,20,20.0,20.0,0.0,10_4__2
123,5,2,1,10,10,2.0,2.0,1.0,5_2__4
123,6,4,0.416666667,10,12,10.0,10.0,4.0,6_4__4
123,5,6,0.3,9,10,12.0,12.0,5.0,5_6
123,2,4,0.5,4,4,0.0,0.0,0.0,2_4__2
123,5,4,0.5,10,10,7.0,7.0,5.0,5_4__6
