Subject,Appraisal_Dimension,Item,Order,Rating,RT
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,1050,18,15,4142.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,1052,108,16,5579.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,1120,12,15,8528.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,1201,32,21,3672.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,1270,77,97,4648.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,1303,92,2,5917.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,1440,21,4,6520.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,1441,63,2,3978.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,1463,52,2,4493.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,1710,105,1,4189.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,1722,94,1,7203.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,2057,93,3,5028.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,2070,95,1,4583.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,2091,88,0,4009.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,2154,34,1,3493.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,2205,107,99,4968.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,2224,36,2,3473.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,2332,79,0,3859.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,2340,102,1,5040.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,2395,62,0,4244.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,2550,28,2,4060.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,2683,53,64,3849.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,2691,2,49,10968.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,2710,76,98,5251.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,2717,64,98,3760.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,2811,70,98,3433.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,3005,8,100,5913.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,3015,4,100,5407.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,3051,67,98,3730.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,3053,35,97,4000.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,3063,47,96,3684.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,3064,43,100,6667.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,3068,110,100,4828.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,3150,100,100,4856.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,3181,41,97,4083.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,3500,39,92,5252.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,4002,42,0,5601.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,4141,69,1,4128.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,4180,22,2,5230.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,4225,71,1,4177.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,4232,5,0,6707.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,4250,73,3,3546.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,4311,83,0,3634.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,4460,56,0,3569.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,4542,45,3,3547.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,4561,87,0,3875.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,4574,72,2,5011.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,4599,97,2,6216.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,4607,49,0,4815.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,4611,111,1,3769.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,4622,74,0,3031.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,4623,78,2,3525.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,4625,33,0,4555.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,4645,103,1,3200.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,4659,80,1,5056.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,4670,1,46,15361.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,4672,99,2,5028.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,4680,20,22,6605.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,4695,23,8,6648.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,5270,109,1,7082.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,5629,38,2,3981.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,5661,54,0,4212.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,5700,85,0,3539.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,5780,60,2,4231.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,5910,9,3,4265.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,6212,112,98,4949.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,6560,40,100,5112.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,6821,104,100,7090.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,7230,13,30,5474.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,7325,91,2,3579.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,7330,3,33,8425.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,7359,51,99,4302.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,7361,27,100,6382.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,7430,15,3,6927.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,7450,37,99,3889.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,7470,31,2,3352.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,7480,96,0,6741.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,8461,101,0,5475.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,8497,14,2,5728.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,9040,17,95,5483.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,9050,10,30,8298.0
A3NZMM3QFG3795:3018Q3ZVOJ22WBWHUTZMU6B6UR2ARF,disgust,9181,66,98,5281.0
